宋家庄,116.434924,39.851945
刘家窑,116.428565,39.863697
蒲黄榆,116.428124,39.871797
天坛东门,116.427369,39.888546
磁器口,116.425393,39.899341
崇文门,116.425016,39.90655
东单,116.424477,39.914534
灯市口,116.424153,39.923581
东四,116.422869,39.93056
张自忠路,116.423552,39.939903
北新桥,116.423372,39.94715
雍和宫,116.422995,39.954658
和平里北街,116.425079,39.964779
和平西桥,116.424486,39.974511
惠新西街南口,116.424019,39.98333
惠新西街北口,116.423552,39.99422
大屯路东,116.423848,40.010227
北苑路北,116.424525,40.036821
立水桥南,116.420973,40.048238
立水桥,116.418853,40.059394
天通苑南,116.419033,40.072812
天通苑,116.419105,40.081507
天通苑北,116.419285,40.089649
