北京南站,116.385198,39.871015
永定门外,116.405698,39.87377
景泰,116.41716,39.871472
蒲黄榆,116.428155,39.871749
方庄,116.446193,39.871776
十里河,116.464626,39.871915
北工大西门,116.484066,39.880774
九龙山,116.484066,39.900067
大望路,116.484461,39.914762
金台路,116.484784,39.929481
朝阳公园,116.485036,39.939523
枣营,116.481518,39.94988
东风北桥,116.492546,39.964551
将台,116.496211,39.97702
望京南,116.48826,39.990402
阜通,116.477562,39.997999
望京,116.47458,40.00488
东湖渠,116.474077,40.01632
来广营,116.473502,40.026238
善各庄,116.484784,40.033199
