天宫院,116.32644,39.676136
生物医药基地,116.328308,39.692378
义和庄,116.325505,39.718358
黄村火车站,116.339519,39.728347
黄村西大街,116.339052,39.737419
清源路,116.33898,39.748405
枣园,116.338405,39.769066
高米店南,116.338405,39.769066
高米店北,116.337327,39.779603
西红门,116.335135,39.79546
新宫,116.372091,39.818324
公益西桥,116.377248,39.843051
角门西,116.377643,39.851983
马家堡,116.377859,39.859212
北京南站,116.385171,39.871008
陶然亭,116.380931,39.884615
菜市口,116.380967,39.895411
宣武门,116.380895,39.905914
西单,116.380554,39.913316
灵境胡同,116.380266,39.922184
西四,116.379979,39.930041
平安里,116.379314,39.939792
新街口,116.374158,39.946624
西直门,116.362084,39.946029
动物园,116.345196,39.943927
国家图书馆,116.331865,39.948906
魏公村,116.329889,39.96359
人民大学,116.328021,39.972852
海淀黄庄,116.324248,39.98192
中关村,116.323026,39.989963
北京大学东门,116.3222,39.998089
圆明园,116.315911,40.005468
西苑,116.297119,40.004749
北宫门,116.28404,40.008673
安河桥北,116.276422,40.01862
