海淀五路居,116.282703,39.938646
慈寿寺,116.300094,39.939116
花园桥,116.317557,39.93848
白石桥南,116.33229,39.938674
车公庄西,116.350579,39.938093
车公庄,116.361251,39.938231
平安里,116.377959,39.938812
北海北,116.392943,39.939476
南锣鼓巷,116.409472,39.939614
东四,116.422893,39.930555
朝阳门,116.440212,39.930416
东大桥,116.458178,39.928646
呼家楼,116.468203,39.929005
金台路,116.485127,39.928756
十里堡,116.508447,39.929282
青年路,116.523829,39.929469
褡裢坡,116.570197,39.929891
黄渠,116.584929,39.929974
常营,116.605482,39.931523
草房,116.62255,39.930693
物资学院路,116.645543,39.933087
通州北关,116.668004,39.924717
北运河西,116.694432,39.90893
郝家府,116.724319,39.909285
东夏园,116.740902,39.909534
潞城,116.754844,39.908897
